Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
ANKRD36	33078	72710	118794	34963	64132	11368	47841	11546	2742	21263	9202	1625	23632	143422	7769	28842	39558
AC159540.2	2826	4246	6859	1080	4427	444	2255	0	0	1090	125	0	3585	9994	218	0	2322
AC092683.1	27453	31222	50847	14533	37445	1804	23836	2995	532	3410	7812	1148	9173	52955	914	1559	16727
ANKRD36B	21405	70201	101937	22930	43463	6627	24133	5251	972	22764	4807	1077	25260	151563	7519	14183	32756
COX5B	6203105	1725755	3032445	6904102	1151936	428793	1891483	213122	108578	1338573	123189	21253	4049018	1119430	533379	4563598	2087985
ACTR1B	116291	94628	58524	90673	54132	24280	87415	19527	5982	32610	6527	1657	159585	13512	17638	48903	51993
C2orf92	22817	31494	21510	19220	6816	1859	4867	1018	697	12076	1313	776	7226	17811	2316	2850	9667
ZAP70	677	843	117	870	142	1428	144	0	0	997	13507	0	110	0	211	2922	1373
TMEM131	205438	140336	171425	197481	73726	10007	96071	16026	3763	81338	9035	1541	110468	25832	22566	66573	76977
VWA3B	1148	2397	1146	875	695	0	1257	0	0	2862	0	0	523	254	91	491	733
CNGA3	119	20726	0	357	205	26	14387	0	0	5636	0	0	0	1092	0	27	2661
INPP4A	16628	56072	39862	38626	11265	2127	38966	4694	2734	23083	10161	391	15727	10020	8199	44685	20202
COA5	425815	182356	233950	506104	112423	31572	194341	22747	11460	114071	10614	1580	282694	42551	34981	169289	148534
UNC50	550871	451737	247816	508217	178554	26435	314295	30166	14362	446602	12221	5536	329090	33223	99493	199970	215537
MGAT4A	90032	28006	33724	115796	20009	3115	11958	37583	700	23510	50081	117	103294	10564	5690	34139	35520
LINC02611	299	155	68	324	248	0	340	0	0	0	2438	0	0	0	0	0	242
KIAA1211L	233867	3384	196019	510105	26039	1956	1075	9241	494	2553	3596	156	83086	312	129	1420	67090
TSGA10	125306	60131	64013	101723	49015	5375	37934	3177	2772	30556	2974	681	62015	14947	15806	20278	37294
C2orf15	21746	8220	9123	26953	5435	280	4349	666	92	6276	1251	304	9925	3430	2483	4309	6553
AC079447.1	2609	2423	1773	2042	1378	8	1565	588	0	1128	77	0	636	0	0	221	903
LIPT1	51366	38399	35481	46602	23831	6011	36522	3116	1108	38993	4023	553	46916	5983	12131	21384	23276
MITD1	329575	151734	185023	354877	113270	24418	201210	31367	11193	189604	13488	2702	169751	14148	50893	54077	118583
MRPL30	151462	53700	77487	137013	64571	12451	60234	10924	5711	49353	9532	1252	117376	12654	23291	75068	53880
LYG2	3972	9746	2567	3628	3966	794	2965	204	339	3843	928	214	3120	453	1466	2759	2560
LYG1	3307	2116	1966	2375	4404	245	2328	122	141	4607	267	0	906	370	346	596	1506
TXNDC9	347528	221673	166588	363385	84034	18338	187414	21128	5741	256160	9712	2025	235365	17210	83730	348455	148030
EIF5B	1491244	1305905	889392	1678273	505763	138941	979764	105117	41311	1231265	55348	14953	1447954	188563	408904	423778	681655
REV1	432153	225730	298867	440474	195706	33981	114882	22093	6662	166041	14393	3185	527629	27198	37426	96602	165189
AC018690.1	2281	1719	2045	1835	1527	473	1099	61	0	0	136	0	1920	213	222	510	878
AFF3	1086	170722	176	2092	2216	64651	20080	899	2402	42715	2077	0	343	1625	4290	8378	20235
AC092667.1	79	2096	0	64	0	164	1334	28	0	910	0	0	0	0	603	0	330
LONRF2	18967	7421	2153	7070	1998	46	8791	973	1264	1787	221	0	4897	6950	78	69	3918
CHST10	782	15825	6424	1768	5888	3420	14082	2192	548	8398	1135	344	6602	3287	1763	14635	5443
PDCL3	386238	150290	266645	558284	84961	17141	81794	14631	8260	176329	27650	1290	319027	20450	41632	408189	160176
NPAS2	290996	85645	93556	318890	53986	4432	72192	5892	2941	55965	2100	626	213032	24164	19549	1311	77830
AC092168.2	30799	5293	4933	30771	2675	10	3422	222	0	3222	0	0	22849	2971	1663	0	6802
AC016738.2	1054	0	368	1264	176	0	0	0	0	174	0	0	5958	830	0	0	614
AC016738.1	1052	380	68	555	210	67	157	165	0	591	0	0	0	502	357	250	272
RPL31	8422069	2588193	9459789	6409313	7142564	1234462	3104140	746569	220722	1864618	377748	24161	26303393	412257	1005906	1633536	4434340
TBC1D8	21122	20373	4844	10067	9229	1675	12264	3671	292	11121	938	833	4081	185	4676	16440	7613
TBC1D8-AS1	3713	7977	3154	2682	4321	988	1643	1175	199	3105	490	406	1096	2614	1414	1171	2259
CNOT11	189471	47957	92939	229426	51068	14576	77036	10139	2722	37490	7351	574	176383	10347	13888	240595	75123
RNF149	726096	177742	530764	1021061	138471	22276	196201	29303	6824	241383	61359	1686	659069	14462	64927	48891	246282
CREG2	121320	5370	129211	550675	1816	1552	1597	1574	472	2347	1912	136	164730	0	90	0	61425
RFX8	2320	8672	2229	2944	817	185	32916	376	916	3207	0	0	15579	0	3285	0	4590
MAP4K4	248090	186861	200294	247648	81135	31093	408407	50522	15106	160207	28723	4529	377143	38451	70465	215909	147786
LINC01127	18566	3863	284178	25311	55744	1452	5340	0	0	1079	227	0	130178	0	383	0	32895
IL1R2	10552	2491	69244	2658	80841	1312	4611	452	0	1837	87375	0	58283	0	0	24	19980
IL1R1	148934	57207	23524	23287	64771	3413	358151	71291	10762	43692	18749	0	45223	160	26629	1206	56062
IL1RL2	8985	165	3751	3056	9191	8	2843	52	86	236	2114	0	17029	0	0	0	2970
IL1RL1	5554	0	2120	889	493	0	10923	3139	805	288	4379	0	17175	0	1411	0	2948
IL18R1	5943	680	24513	8405	3476	97	4615	4353	0	924	16304	181	9629	0	461	0	4974
AC007278.1	0	0	0	86	0	0	0	0	0	0	1004	0	0	0	0	0	68
SLC9A4	904	0	15	1440	0	0	0	0	0	0	0	0	857	0	0	227	215
SLC9A2	8350	467	1103	4474	248	152	45	56	0	0	334	0	4578	0	0	135	1246
MFSD9	41335	21778	13716	48031	8324	3569	20062	1739	283	10633	2269	0	17651	1826	8327	17578	13570
TMEM182	30687	18189	12925	24870	8061	646	7057	349	507	9701	505	0	14152	2147	1004	3503	8394
LINC01965	0	28762	0	220	0	0	1489	60	0	1528	459	0	373	1859	0	0	2172
AC068535.1	99	14800	0	50	0	0	3704	0	101	19961	43	0	0	359	647	0	2485
LINC01831	0	3580	0	0	0	0	247	0	0	2418	0	0	0	0	0	0	390
LINC01102	112	85146	61	754	411	2138	3899	0	0	29708	59	0	0	2396	479	127	7831
PANTR1	4496	910531	1407	13593	1938	60957	58050	762	1566	415606	1361	259	814	41424	4871	0	94852
AC068057.1	310	1303	2134	1108	0	102	0	0	0	0	0	0	741	0	0	241	371
LINC01114	213	218283	0	1144	0	61	7229	511	0	53137	452	0	0	992	926	0	17684
AC018730.1	0	12523	0	0	0	854	7132	60	187	9958	0	0	0	3624	1799	0	2258
POU3F3	4743	1051517	1922	12804	1655	17525	85874	907	3175	194689	1705	303	555	143492	18750	707	96270
LINC01159	534	117671	184	1547	0	539	9223	106	0	48613	43	0	0	19737	1715	0	12494
MRPS9	242336	119310	112476	249683	98228	13417	109941	12174	7805	157985	5089	858	156368	29630	35328	204063	97168
LINC01918	5812	67	41393	27395	6627	189	288	145	0	0	0	0	35983	0	0	748	7415
AC012360.2	769	94	454	713	0	0	174	470	0	0	0	0	458	0	0	236	210
TGFBRAP1	71797	51002	40851	61758	28080	13470	42310	11931	2644	28998	8682	547	41039	14730	12793	25570	28513
AC012360.1	189	796	645	1521	765	161	610	0	0	169	185	0	817	268	177	177	405
AC012360.3	43141	48916	30098	36001	26409	5440	23102	3734	1057	24150	2765	471	53818	12299	9798	36406	22350
C2orf49	216187	148975	145932	279481	113309	13143	133277	15597	7268	175196	9700	2029	115999	16847	54255	74684	95117
FHL2	718271	723802	596233	186711	606453	18944	823774	12130	51166	1106773	5983	400	2446892	31135	100707	13161	465159
AC108058.1	4641	5120	1103	1213	2466	0	1678	0	0	4054	0	0	2510	621	775	0	1511
NCK2	355124	118875	164006	328226	120194	21049	94936	11920	17534	83496	16749	562	172653	30517	29037	125597	105655
AC010978.1	1556	225	115	669	465	0	583	0	0	0	549	0	555	0	0	39	297
ECRG4	15985	2852029	8009	24970	57424	2066	275016	7678	50475	1075219	5542	0	8089	9230	70839	0	278911
UXS1	329350	117554	400967	792531	64068	14117	146623	13875	3897	56894	12162	5605	411632	9040	24862	82038	155326
ST6GAL2	32375	27405	918	2671	62160	312	3811	454	213	2668	173	0	11356	4997	0	0	9345
AC096669.1	482	0	0	331	0	0	0	0	0	0	0	0	585	0	0	0	87
LINC01886	184	1379	183	287	778	0	0	0	0	0	0	0	0	0	0	0	175
RGPD4-AS1	259	207	65	179	16	0	0	162	0	0	0	0	0	0	0	140	64
SULT1C2	544	1134	975	816	334	5661	1663	5179	136	214	0	119	553	0	0	2446	1236
SULT1C4	582	4405	260	380	182	2679	8126	6571	242	979	303	0	200	10855	0	454	2263
GCC2	756309	413018	270164	494546	256528	55347	520976	53530	16094	165469	49932	7311	161636	69152	93416	125126	219285
GCC2-AS1	1665	1877	479	1039	361	249	949	0	0	460	0	0	376	0	0	976	527
LIMS1	1108409	319970	423380	1213389	203137	48768	597142	196737	16122	291436	83178	3483	721242	25848	132043	298782	355192
RANBP2	431692	293892	366294	505962	193689	23924	221350	38508	8656	112568	53998	4750	342560	99109	47705	353203	193616
CCDC138	33577	21665	32382	27533	24285	2786	9257	2271	886	10409	2174	90	33865	6175	2945	39851	15634
EDAR	21628	0	10814	16287	1676	55	0	109	0	0	295	0	9357	0	0	0	3764
SH3RF3-AS1	2104	2601	1894	225	1052	0	4887	380	519	0	0	0	1688	0	508	0	991
SH3RF3	12009	12595	8761	2867	11541	2921	32035	2074	3955	2186	384	0	14551	0	5521	77	6967
SEPTIN10	544025	286060	260889	363980	269810	35808	268267	57515	15828	200908	6125	7532	610704	14456	77867	0	188736
AC011753.2	1075	0	2340	1888	959	0	353	0	0	0	119	0	725	0	0	0	466
SOWAHC	374697	56499	306959	400681	160180	10532	42673	8619	2729	34849	5218	3960	1156339	8489	10853	28853	163258
AC074387.1	9573	59776	2089	11473	1778	212	5359	33	0	18231	599	0	1372	0	1641	110	7015
RGPD5	80082	83234	57457	90937	49315	5214	45831	7342	2084	65073	9788	1243	31712	33836	15303	16132	37161
LINC01123	3675	0	2020	2390	631	0	113	0	251	0	0	0	3681	0	0	0	797
MALL	2457258	14112	945424	1652310	289712	20106	15244	60363	2170	6589	12868	1037	3867991	0	255	5145	584411
NPHP1	19524	66433	33054	14086	27282	4835	38002	3178	1763	44996	1178	248	40065	11545	9703	12584	20530
MTLN	675588	297460	286386	727099	192619	29403	342074	43640	16738	434005	13498	3320	426819	47861	82061	0	226161
LINC01106	15981	1708	10811	12618	6378	426	1367	711	565	224	0	0	20297	855	513	0	4528
AC226101.1	89	777	41	169	0	0	0	0	0	0	0	0	0	0	0	0	67
BUB1	801	916	13099	122	1507	292	12520	454	0	0	1098	0	2781	0	0	120840	9652
ACOXL	4117	838	3996	4846	1173	110	677	0	0	935	588	0	7397	119	90	26608	3218
MIR4435-2HG	108725	223264	39381	105038	10507	1413	217657	10266	9634	373820	8383	635	184149	24984	119437	139699	98562
ACOXL-AS1	3582	1404	2449	4444	355	44	2925	159	0	0	229	302	1686	279	51	0	1119
BCL2L11	325207	115428	196887	307874	65976	7295	39685	11853	3048	48103	24556	3280	628469	41894	8407	49375	117334
AC108463.3	391	9412	101	245	0	0	13156	270	1377	1924	432	149	0	132	760	436	1799
AC068491.3	3634	4982	2000	3407	150	46	13799	1044	640	955	1017	0	440	259	297	4349	2314
AC017002.6	1409	0	0	1531	0	0	0	0	0	0	0	0	16	0	0	0	184
AC017002.3	2966	7141	1448	8674	29	0	20031	231	49	3592	1745	142	20971	1928	2193	73	4451
AC017002.1	1826	2199	598	1374	118	0	800	26	155	1417	395	0	2924	2253	372	242	919
ANAPC1	120668	59632	73247	112686	48649	5382	57496	8737	2585	34411	6289	1443	78566	13105	10902	121927	47233
MERTK	52369	29699	3796	47915	1899	563	12890	5725	2751	17357	15396	1483	6438	4536	3504	20635	14185
AC093675.1	1040	1734	236	801	125	23	1496	246	0	0	183	0	0	0	0	0	368
TMEM87B	316823	140504	133719	243605	72058	3467	131266	19461	3539	35064	7666	184	144794	28545	8038	24004	82046
FBLN7	13625	180739	1238	1715	5575	8324	37380	2228	939	91156	925	0	2810	4389	3582	871	22218
ZC3H8	236547	152655	126330	225293	94656	12261	93228	20825	6189	143958	14248	833	109705	16242	31710	51472	83510
ZC3H6	350913	171476	196205	307039	139786	18558	173293	21963	17684	53148	11782	7343	102591	16697	20833	4054	100835
RGPD8	3147	9229	3617	3034	3382	29	2644	133	0	1502	192	0	2448	3819	462	2172	2238
TTL	38534	78551	34274	29357	21136	4144	82352	5653	1813	34038	9840	1856	61436	17760	26832	45151	30795
POLR1B	37133	22062	28587	42569	14462	2320	34428	3840	718	14239	2202	431	30538	4230	11218	34659	17727
CHCHD5	668031	170274	358636	854617	143008	39818	200133	27886	13041	120021	15563	2207	669846	50073	38342	447004	238656
AC012442.2	21	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC012442.1	553	260	576	606	765	0	134	0	0	0	0	0	606	0	0	227	233
AC079922.2	24457	19414	35236	74628	6938	2587	24068	2113	653	8238	1244	467	41174	12738	1818	4226	16250
SLC20A1	5127492	1520249	4425865	12395710	382602	56669	618506	82704	11359	1129921	118677	9240	2156539	675278	129649	98856	1808707
NT5DC4	1824	0	183	4193	159	0	0	71	0	0	0	0	789	0	0	406	476
CKAP2L	3151	2104	29414	4532	1039	9	8374	0	0	418	72	0	14213	0	332	31064	5920
IL1A	718896	7548	138405	1857806	7065	3593	17264	10271	1662	9262	52453	119	132096	1334	4341	490	185163
IL1B	63830	3754	19116	55325	3671	650	7206	304	448	10643	1429468	344	61388	0	576	0	103545
IL36G	760837	8980	127222	1237990	16269	3173	7504	7268	459	2098	7425	490	760727	0	1686	169	183893
IL36RN	30050	0	6350	62647	82	626	1600	181	0	102	221	0	31535	0	149	0	8346
IL1F10	5574	0	503	5401	0	0	0	0	231	0	0	0	2591	0	0	0	893
IL1RN	5840313	37979	550752	3270099	132583	17085	69160	31784	6210	32507	75571	758	1516452	0	10443	0	724481
PSD4	105878	17008	134029	129876	45990	2191	8362	2197	165	15776	7337	444	244927	0	5378	2447	45125
PAX8-AS1	312497	150004	215894	313294	102079	4830	138267	12594	4135	73740	10802	1681	39795	7332	36816	0	88985
PAX8	11993	7002	10335	13882	6154	691	7599	508	109	5986	889	177	4503	1133	5619	2785	4960
AC016745.1	6503	3021	3231	7677	1282	10	1156	98	0	1285	75	0	519	261	206	0	1583
AC016745.2	26717	10583	29752	31066	4068	126	6580	0	208	4427	1117	0	1911	122	869	123	7354
CBWD2	122739	79349	111833	125227	73975	10953	41893	3823	1319	116758	4215	479	156955	11704	19239	20204	56292
PGM5P4-AS1	76	0	0	66	0	0	2304	46	3065	0	113	0	0	0	0	0	354
AL078621.4	1491	0	735	704	99	0	248	0	0	0	0	0	153	0	0	0	214
RABL2A	36691	23080	34521	29599	21526	3450	26700	3154	811	11029	1296	444	34216	4137	3831	4501	14937
AC017074.1	495	35	26	451	32	0	150	0	0	405	0	0	0	0	0	0	99
SLC35F5	279179	101916	246333	280792	112342	18597	199744	16740	4774	54764	14172	2502	327362	15776	18597	41461	108441
AC104653.1	4977	502	4703	3901	1940	40	6011	115	0	1208	214	0	7623	0	102	87	1964
AC110769.2	16378	6522	11557	6610	7776	879	10658	956	0	2965	4818	1453	4691	2869	1284	2276	5106
ACTR3	1155940	334841	823912	1276723	405728	58380	469247	59713	19762	339283	68333	5197	1261152	46413	103027	305560	420826
LINC01191	5875	723	3422	11650	1376	177	24	20	0	1308	463	0	4402	842	0	126	1901
DPP10	10325	409	17364	9683	5890	789	109	0	0	0	53	0	29075	266	0	6651	5038
DPP10-AS1	22790	379	19470	16671	18305	547	925	186	0	0	179	0	117365	0	0	13047	13116
AC009312.1	549	2112	1398	700	344	305	57	345	172	0	0	0	503	0	0	0	405
DDX18	946247	835244	535400	961356	395575	63866	770120	87273	42669	722335	58211	8063	662874	88224	360258	352046	430610
AC009404.1	13350	19190	15263	17587	10066	629	14090	1259	192	7212	2327	0	23267	1855	3331	5416	8440
CCDC93	83456	98243	46452	66616	43354	8318	83524	10810	2114	93274	9064	1141	41890	19584	23571	40821	42014
INSIG2	124843	210269	92977	181086	61233	7769	130978	8152	8978	154421	8002	1301	110107	26001	25295	23934	73459
THORLNC	72	4497	278	316	0	168	709	186	0	1140	25	0	777	0	124	0	518
EN1	0	0	0	54	0	0	1647	26	954	0	0	0	549	0	0	5893	570
MARCO	36015	1084	173	18450	39	0	8130	0	0	254	12658	0	7638	0	13388	308	6133
STEAP3	55947	3309	9215	19125	6118	62	26999	3961	423	529	3720	803	10545	3933	528	14984	10012
STEAP3-AS1	1134	0	419	358	40	0	464	37	0	0	0	0	653	0	0	0	194
C2orf76	196130	91956	141350	246244	46452	14875	55646	7068	3318	76496	4880	2493	220022	8734	10959	49239	73491
DBI	5620077	1137961	1484124	5471570	511991	398841	1435055	122910	47001	981300	157348	50637	2980665	117356	382847	758145	1353614
TMEM37	133264	25704	47936	53334	2704	466	5217	1237	1036	5974	3037	406	49867	0	0	138722	29306
SCTR	0	670	0	0	0	0	0	0	158	408	0	0	0	0	0	747	124
CFAP221	0	0	53	266	70	0	937	0	158	0	0	0	0	1160	0	1146	237
TMEM177	47569	15944	29395	67818	13354	1845	29551	1277	372	14088	689	0	15397	1861	8697	70540	19900
PTPN4	81873	54284	68938	67766	44000	5015	34222	8839	1928	25300	13872	1378	32451	10672	4288	34445	30579
EPB41L5	191196	38406	68866	191275	65367	6899	29816	4801	2219	24318	2585	813	137945	5357	7278	156236	58336
AC012363.1	24	515	45	108	67	0	110	0	0	0	0	0	0	0	0	365	77
TMEM185B	82008	42906	84729	90099	61118	10974	56272	14058	1938	26645	6363	639	268633	9736	12064	13757	48871
RALB	363329	70519	347020	492520	96088	25960	87735	50707	4430	79091	11092	1076	464773	20278	31207	20422	135390
INHBB	7779	4375	71	778	7212	205	41188	44540	193	0	0	0	1756	0	118	2216	6902
AC073257.2	0	0	0	0	0	0	137	892	0	0	0	0	0	0	0	0	64
AC073257.1	0	0	0	221	0	0	0	226	0	0	0	0	0	0	0	0	27
GLI2	15179	3466	12441	14125	1340	0	15817	0	133	95	348	0	4193	0	0	964	4256
AC017033.1	1069	216	183	149	0	0	1681	0	0	0	0	0	2438	0	0	0	358
TFCP2L1	41548	290	1349	3569	155771	1244	1317	262	0	0	1589	0	4910	0	0	150022	22617
CLASP1	136225	67829	120621	128403	54322	14306	58185	10799	1316	17545	5038	1815	61943	16172	5272	34010	45863
AC012447.1	1238	90	200	451	233	0	109	0	0	0	71	0	559	0	0	320	204
NIFK-AS1	56237	47492	49034	67986	37196	6362	56820	4428	1101	23543	5367	455	37368	9033	11506	12143	26629
NIFK	643489	352435	352491	574675	301526	43833	622675	30753	9683	616860	17015	3874	828554	26191	243487	589388	328558
TSN	392159	219265	240583	440577	165619	54306	174518	25147	7775	140955	11043	1699	377554	33341	90843	202598	161124
AC079154.1	1034	49	0	154	0	0	0	0	0	0	0	0	0	0	0	153	86
CNTNAP5	6923	234	0	743	628	42	0	0	0	0	0	0	168	0	0	893	602
AC019159.2	1396	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	89
AC097499.2	33477	0	123	1107	275	0	0	69	0	0	0	0	799	0	0	0	2240
LINC01889	26157	0	0	1439	36	18	411	109	0	0	0	0	0	0	0	0	1760
GYPC	28715	206459	3133	11890	7877	403116	873245	88831	25599	224481	36238	3267	9611	3158	221922	161875	144339
BIN1	125184	148895	124540	138477	35594	4980	219362	7255	6431	137216	20338	3638	264918	1784	78428	39893	84808
AC110926.2	280	57	80	411	0	0	0	0	0	0	0	0	0	0	0	0	51
CYP27C1	88201	53642	123551	136207	29983	1677	7279	1433	86	43704	803	1639	90806	0	5433	9473	37120
ERCC3	123393	83088	93964	129746	44628	8159	64387	8998	2424	50131	3967	1685	102284	19480	25084	52875	50893
AC068282.1	899	1798	956	2363	602	0	461	0	0	921	121	0	1903	667	310	1365	773
MAP3K2	605268	271702	326816	570296	257650	38297	232769	36158	16097	158674	60200	3335	317280	45074	50677	112878	193948
MAP3K2-DT	60994	33851	44397	59251	20240	2142	22255	3398	958	38484	4778	0	114395	3637	6199	0	25936
PROC	3287	0	6667	1046	1682	187	325	0	0	0	401	0	3809	613	0	926	1184
IWS1	272932	128285	140644	248903	91667	13925	128724	14383	7001	85800	17927	1618	102559	24700	33970	166814	92491
AC010976.1	163	826	218	785	376	147	536	0	0	0	808	0	194	0	300	265	288
AC010976.2	0	139	0	62	0	0	15	2165	50	0	512	0	0	0	0	34	186
LIMS2	2028	5645	1204	2144	879	12804	21695	50324	8292	733	438	3545	1170	2614	154	4501	7386
WDR33	621596	258302	455834	733388	324049	53950	224905	38763	9538	335369	39656	2601	640944	27643	75194	269102	256927
SFT2D3	85604	38388	38917	93295	29741	6891	43146	5462	1122	26601	6456	181	55448	4147	9336	12991	28608
POLR2D	125992	79158	90719	157715	65532	17343	89136	7130	2964	98943	7478	1022	230223	11209	41177	163304	74315
AMMECR1L	88817	47418	84803	102310	48169	20755	51040	8875	3452	29696	3428	1357	104144	18612	11928	28700	40844
AC012306.2	25521	25060	23680	32032	9497	3717	8508	1124	489	13351	540	109	49538	6397	2541	13834	13496
AC012306.3	1513	4659	1905	2649	1206	7558	2475	278	111	2896	60	558	2206	2080	546	0	1919
SAP130	69838	25432	42778	55119	23642	5588	23101	4706	1337	11478	1626	866	31167	12350	5664	26433	21320
UGGT1	103236	122216	81185	110436	35089	7265	84816	13521	1981	28723	7995	1048	52923	14146	16594	75321	47281
HS6ST1	269082	32170	126197	177507	105055	5324	61951	9500	838	15115	4594	1149	116417	12061	8085	103212	65516
LINC02572	342	330	680	400	885	63	116	0	0	168	0	0	497	0	0	0	217
CCDC74B	384	3557	209	425	3662	1036	11484	26	365	1784	0	0	1237	3541	689	1764	1885
SMPD4	142298	83326	121531	120288	78034	13887	77006	14345	3538	34012	10868	2841	97635	32684	16606	189471	64898
MZT2B	2263762	1146009	1044112	1730005	871074	214485	1697666	155229	73089	621476	96904	16060	2295885	233930	435799	641036	846033
CCDC115	576567	157136	326047	581598	199432	38319	87173	22444	7367	93141	16655	3141	408451	25542	37589	101683	167643
IMP4	466252	179597	237234	502555	169252	39750	289619	26482	9038	252230	15878	1683	655733	30579	158729	510758	221586
PTPN18	143038	82946	54866	102124	47371	23968	58493	14481	4559	27401	19603	628	80450	13979	12886	5665	43279
AC140481.1	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	285	31
AC133785.1	21718	133	17335	32501	2258	29	266	0	0	268	58	0	20328	0	0	204	5944
ARHGEF4	325495	16002	467974	520223	52160	5374	10696	3167	990	5039	4118	588	202135	29726	449	5063	103075
FAM168B	145336	184523	115043	160388	72519	17363	145310	13205	5223	94984	8117	1175	201189	43628	51113	146769	87868
PLEKHB2	684977	144018	416635	822601	148115	61018	139792	35839	7063	127930	41133	4056	543295	52906	54855	734703	251183
MZT2A	827447	297918	500943	688626	370987	56285	485182	39046	23919	160498	32737	3733	1124540	92791	106706	539387	334421
CCDC74A	8813	29407	12428	2539	22765	2664	30863	186	3086	22820	263	363	19588	2100	2812	5880	10411
C2orf27A	18242	65565	21083	26113	10946	2206	112478	4523	3322	29074	1716	370	16259	1578	8685	0	20135
AC093787.2	2382	545	3860	7667	573	0	1068	64	0	102	0	363	2119	0	0	0	1171
AC097532.1	275	0	21	2793	0	0	0	0	0	0	0	0	0	0	0	0	193
AC097532.2	3116	2795	3628	7411	2237	2086	1432	857	1070	972	0	573	2486	686	0	1069	1901
AC097532.3	3275	2634	4007	5500	1943	0	922	109	0	1448	0	0	2416	454	0	0	1419
GPR39	12718	1868	14276	23128	1171	132	728	27	0	830	159	0	15263	36	188	404	4433
LYPD1	191124	854	51638	258606	3008	1350	1573	1490	2563	1954	1714	592	150512	474	0	2476	41870
NCKAP5	41116	13010	133070	138612	16727	8763	6898	1833	23500	4525	2958	119	83833	261	1617	248	29818
NCKAP5-AS2	579	81	2298	2712	0	1402	0	0	135	0	0	0	1150	0	0	0	522
MGAT5	56312	19578	49022	51117	35241	12669	47468	4267	4946	19005	6443	0	49675	8978	8922	9917	23972
TMEM163	378	0	273	1294	0	0	790	17	0	0	1568	142	94	0	0	120	292
AC110620.2	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	3
CCNT2-AS1	8384	6935	3619	3577	5784	794	6682	582	0	5508	174	143	4574	951	2311	2112	3258
CCNT2	299250	130086	194425	328653	128495	14103	106049	16867	2733	77385	15225	3125	139336	29625	39031	95329	101232
MAP3K19	10680	10691	4323	16975	3487	796	1299	288	0	9787	504	231	12654	110	218	344	4524
RAB3GAP1	447290	176451	277121	465123	164562	24371	178014	29561	7556	126154	13499	1655	292773	31082	42400	110979	149287
ZRANB3	22040	20860	27670	19591	11421	1026	15870	1986	1407	8161	1262	233	9766	2653	1353	23334	10540
R3HDM1	136769	60513	81565	122590	44948	6147	68501	12749	3839	37133	9185	430	70249	7053	12184	62913	46048
UBXN4	1844942	739103	990399	1477469	642635	78125	953797	108886	39257	658879	60004	10862	1099986	96644	275291	610366	605415
MCM6	18008	39067	40081	18744	9050	2505	66096	5953	1735	4527	2936	733	17119	1774	7067	201903	27331
DARS	667512	223839	487441	689156	266262	52199	309422	37660	16844	115976	25781	1584	687614	47037	59610	317346	250330
DARS-AS1	5018	262	3504	8476	1971	0	3318	0	585	0	212	0	10632	676	206	2279	2321
CXCR4	6497	1141	1783	3729	2318	392	6641	2100	1035	620	517303	0	2373	5004	0	1803	34546
THSD7B	186	0	0	0	690	0	1694	0	0	0	0	0	0	0	0	0	160
HNMT	12343	121127	4953	5272	30597	48604	191353	2690	25148	43056	16099	1187	8759	732	20944	20380	34578
AC114763.1	2057	1277	3038	1379	258	144	694	0	231	1736	0	0	1691	87	544	316	841
SPOPL	184512	50800	142679	160022	75119	8428	47546	9984	5268	28702	12743	2881	157818	5856	10723	20170	57703
AC092620.1	18853	3044	24091	21257	10010	470	4654	858	209	1319	1592	117	43518	652	0	0	8165
AC092620.2	652	140	736	636	506	43	222	178	0	0	214	0	422	0	0	0	234
LINC02631	1678	688	4711	1551	810	0	227	61	0	283	491	0	4153	64	0	0	920
NXPH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC013265.1	6997	0	344	250	3783	0	43	0	0	0	0	0	1302	0	0	0	795
AC062021.1	2553	0	23	363	2808	0	0	0	0	0	0	0	2513	0	0	0	516
LRP1B	2806	125	5096	1510	13784	247	14461	1915	0	0	341	866	3162	0	0	89	2775
KYNU	68757	452	1684	69247	5791	256	13771	4565	128	623	45367	90	4832	0	119	1221	13556
ARHGAP15	804	126	38	606	43	1294	3100	780	27751	0	19664	4342	0	0	0	0	3659
AC092652.1	38	204	0	0	55	829	2047	0	0	0	0	0	0	0	0	0	198
AC092652.2	0	191	0	0	0	45	809	0	0	0	0	0	0	0	0	0	65
AC016910.1	0	254	0	0	0	0	119	0	0	0	0	0	0	0	0	241	38
GTDC1	53411	30951	65060	112426	25892	5589	41296	6779	4891	12994	6911	1117	82622	2184	7167	52511	31987
ZEB2	7910	193014	10928	12380	5200	209880	301100	12179	88303	143761	153230	24189	19768	1404	53715	33197	79385
ZEB2-AS1	66	3343	0	97	0	1716	1511	12	1259	1648	6161	649	0	0	664	794	1120
AC009951.6	72	30629	36	745	0	3092	13241	337	5640	9179	1721	3413	23	0	729	0	4303
LINC01412	0	183	0	101	0	0	698	20	149	0	0	0	0	0	0	0	72
