Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
DHCR24-DT	81	0	22	47	12	0	27	0	0	0	0	0	60	2	1	0	15
AL590440.2	13	1	4	2	3	0	5	1	0	0	0	0	0	0	0	0	1
TMEM61	580	131	170	455	110	2	80	2	0	24	1	0	218	99	1	11	117
PCSK9	42	3	50	85	2	0	60	0	0	0	0	0	66	0	0	711	63
USP24	1236	415	784	1018	373	60	827	78	16	300	48	4	570	109	76	912	426
MIR4422HG	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
AL603840.1	23	35	3	8	2	1	61	0	2	15	0	3	0	3	0	0	9
AC119674.1	19	429	11	28	15	0	71	6	7	323	0	1	4	7	32	4	59
PLPP3	1591	4281	545	1418	451	33	3400	204	165	2882	24	23	749	435	566	768	1095
PRKAA2	1531	111	401	569	259	14	437	40	40	32	7	4	324	97	41	0	244
FYB2	46	0	24	69	4	1	1	0	0	0	1	0	13	0	0	3	10
DAB1	11	1	10	9	46	3	0	2	2	0	1	2	38	11	0	277	25
OMA1	2371	302	1052	2071	456	60	823	30	19	70	26	2	766	68	7	1878	625
AL035411.3	25	2	4	8	0	2	0	0	0	0	0	0	1	0	0	0	2
TACSTD2	11936	1229	6566	10891	3956	378	1006	413	126	278	241	22	11108	5	107	1297	3097
MYSM1	3406	1137	1521	3202	903	111	1540	135	43	692	103	11	1277	154	257	2705	1074
AL136985.3	27	3	55	3	18	0	4	3	0	0	1	0	6	0	2	4	7
JUN	10980	4141	6376	9710	4083	774	4357	620	265	2652	418	76	10097	779	1125	1009	3591
LINC01135	939	37	275	727	234	12	48	15	0	12	7	0	314	1	0	0	163
AL136985.2	6	0	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0
LINC02777	152	97	149	127	23	9	103	9	1	33	3	1	113	8	5	0	52
LINC01358	16	5	9	5	2	1	51	6	1	0	4	0	9	4	1	0	7
AC093425.1	39	25	42	51	7	1	48	11	1	19	4	0	46	26	2	0	20
AC093424.1	6	5	2	6	0	0	7	0	0	2	0	0	9	0	0	3	2
FGGY	6059	310	2210	6339	555	83	434	78	12	211	44	5	3229	70	15	430	1255
HOOK1	3133	33	2279	4174	563	189	28	25	3	19	31	1	2602	111	5	254	840
CYP2J2	74	4	59	35	25	2	18	0	0	0	1	1	55	0	0	0	17
C1orf87	0	191	0	4	0	0	17	0	1	56	0	0	0	1	3	0	17
LINC01748	34	15	63	62	3	2	11	2	0	0	0	1	30	0	0	118	21
AC099792.1	2	24	0	0	0	3	15	8	0	7	0	5	0	0	0	0	4
NFIA	7303	3120	3627	4958	1812	362	2298	415	160	1169	92	46	3542	336	128	511	1867
NFIA-AS2	2	33	0	3	0	3	9	28	1	20	0	0	1	0	0	0	6
NFIA-AS1	10	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1
AC099791.4	9	16	8	49	1	0	8	1	0	4	0	0	0	0	2	0	6
TM2D1	6184	2492	3735	6047	1544	238	2836	164	63	1895	124	22	5458	270	408	2313	2112
AC099791.2	399	119	199	532	90	3	224	11	2	64	9	2	74	37	8	68	115
PATJ	4494	477	2342	4330	1337	48	403	47	13	164	37	3	1857	219	31	1594	1087
L1TD1	47	22	18	40	42	0	19	3	2	3	3	0	13	0	12	3355	223
KANK4	44	59	7	5	71	1	17	2	0	8	3	10	0	23	0	115	22
USP1	4040	1273	2379	3926	1343	156	1564	139	43	1068	85	20	3007	133	354	3062	1412
DOCK7	1628	831	1212	1590	658	188	1227	34	36	507	31	16	1005	71	115	1262	650
AC103923.1	19	4	31	6	12	2	6	0	0	0	0	0	49	0	2	26	9
ATG4C	844	330	655	957	289	81	495	37	11	194	21	2	589	43	20	1303	366
FOXD3-AS1	20	2	2	8	7	178	3	0	1	4	1	30	4	0	0	1892	134
FOXD3	42	0	3	10	5	54	0	2	2	0	0	37	0	0	0	704	53
ALG6	1459	249	957	1457	362	72	491	48	5	105	24	3	1115	33	12	1454	490
ITGB3BP	3689	1109	2675	4262	976	140	1158	121	46	1006	46	9	3894	127	110	2523	1368
EFCAB7	496	270	387	420	259	19	269	14	4	107	15	4	206	55	37	133	168
DLEU2L	90	42	100	54	52	3	72	11	2	6	3	1	36	9	5	0	30
PGM1	3218	1587	1623	3551	764	67	1902	57	30	1003	44	10	2712	248	147	753	1107
ROR1	37	21	16	3	31	0	511	4	10	19	0	11	3	0	1	28	43
ROR1-AS1	2	0	0	0	1	0	14	0	0	2	0	0	0	0	3	0	1
UBE2U	2	0	0	3	4	1	0	0	0	0	0	0	6	0	0	28	2
CACHD1	1205	2424	114	250	638	21	478	80	3	1585	12	2	268	48	182	559	491
RAVER2	937	129	377	514	217	16	265	38	8	76	7	5	323	49	14	165	196
JAK1	8212	3301	4240	8960	1900	292	3395	423	166	3075	299	33	6052	480	842	2351	2751
LINC01359	26	76	12	6	29	3	50	6	1	16	3	2	5	0	3	0	14
AK4	987	1475	1357	437	667	43	1624	93	15	572	17	4	2224	422	253	3111	831
DNAJC6	10	522	8	30	11	12	245	7	7	176	1	3	4	201	42	35	82
LEPROT	6863	2859	3812	6079	1826	465	3944	498	173	2060	177	50	5548	302	864	1357	2304
LEPR	260	501	165	321	64	8	2479	204	13	177	8	2	147	7	22	28	275
AC119800.1	35	3	9	34	4	0	65	3	1	3	0	0	40	0	3	0	12
PDE4B	309	177	112	264	217	77	639	76	5	60	263	7	455	114	26	8	175
SGIP1	5	5	1	4	1	10	507	41	74	0	0	1	1	8	1	0	41
AL139147.1	8	0	1	8	2	0	4	1	1	0	1	0	0	0	0	3	1
TCTEX1D1	2	1	0	3	1	1	9	98	0	0	5	1	0	0	0	0	7
WDR78	285	149	267	325	68	11	266	12	4	86	1	0	174	30	23	109	113
MIER1	5250	1805	2957	5560	1456	159	2398	205	99	1577	151	20	4504	254	473	2128	1812
SLC35D1	1251	314	799	2699	156	38	482	30	15	165	33	2	762	28	41	533	459
AL133320.2	10	2	0	18	2	0	0	0	0	0	0	0	0	0	0	0	2
IL23R	59	0	19	109	0	0	0	0	0	0	6	1	46	0	0	0	15
IL12RB2	43	16	13	40	7	12	5	1	2	4	9	1	19	7	6	7	12
SERBP1	11020	3946	5823	10489	3639	608	4374	544	200	3464	324	49	10674	515	1201	3767	3789
GADD45A	6771	3103	4566	6520	1523	474	2687	412	165	2786	168	35	9073	297	869	1855	2581
GNG12	6804	1186	3775	6211	1637	402	2509	285	102	1410	49	31	6506	228	431	655	2013
GNG12-AS1	369	82	206	362	70	31	29	31	5	15	4	3	103	10	2	7	83
DIRAS3	485	14	86	123	108	8	563	15	3	5	5	1	457	16	2	188	129
WLS	8108	250	3695	8271	1382	146	2106	141	67	192	89	35	4332	342	27	186	1835
RPE65	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
DEPDC1	21	3	224	12	8	0	163	2	2	4	1	0	55	0	0	1644	133
LRRC7	60	49	40	97	18	2	33	7	2	0	2	1	7	1	0	35	22
LRRC40	1176	336	979	1277	444	68	711	51	22	232	31	8	963	57	88	1390	489
SRSF11	9678	3707	5572	9039	3296	496	4244	428	166	3042	291	43	8511	615	1035	3569	3358
ANKRD13C	1663	750	1079	1634	447	95	967	79	23	582	39	7	1038	126	176	1343	628
HHLA3	1714	645	1233	1711	346	39	696	25	8	539	10	4	1635	120	61	646	589
CTH	251	512	337	262	159	173	560	17	13	221	19	13	203	332	57	1805	308
AL354872.2	14	20	8	9	6	3	44	2	0	0	0	0	2	25	0	84	13
PTGER3	40	21	4	12	24	7	125	2	6	3	2	1	52	0	2	0	18
ZRANB2	5803	3216	3280	5684	1843	185	3436	260	162	2256	196	29	3836	418	991	3080	2167
ZRANB2-AS2	188	82	259	314	42	12	32	4	1	16	6	0	208	20	3	0	74
NEGR1	13	10	4	18	3	4	1214	13	54	0	4	39	1	0	2	6	86
AL513166.1	7	11	19	17	13	0	27	1	0	0	0	0	6	7	5	0	7
AL583808.1	47	0	64	45	11	2	4	0	0	0	0	0	9	0	0	69	15
LRRIQ3	168	46	293	254	51	11	58	5	1	16	4	0	264	5	1	23	75
FPGT	1161	323	738	1182	258	23	509	34	20	130	11	6	669	29	39	400	345
TNNI3K	257	115	280	411	54	7	91	8	3	21	3	6	236	4	2	0	93
AC093158.1	5	8	2	10	0	0	6	1	0	0	0	0	0	0	0	0	2
ERICH3	4	1	109	30	1	1	0	0	0	0	0	0	184	0	0	0	20
ERICH3-AS1	0	0	23	1	0	0	0	0	0	0	0	0	146	0	0	0	10
AC135803.1	11	11	14	14	5	3	14	1	1	0	0	0	42	0	2	9	7
CRYZ	2139	564	2300	4382	497	66	617	50	16	121	33	5	4948	75	69	1276	1072
TYW3	3309	1455	2281	3895	1115	159	1953	126	65	1492	61	10	3663	156	537	2698	1435
SLC44A5	605	18	122	2507	15	3	6	22	1	6	11	0	36	0	1	46	212
ACADM	3929	1192	2639	4310	1056	149	1260	110	34	832	73	11	2829	343	144	2769	1355
RABGGTB	5476	1464	3390	5247	1757	301	2459	190	52	1707	136	18	5401	310	554	3304	1985
MSH4	2	2	1	3	0	0	2	0	0	0	0	0	0	0	0	27	2
ST6GALNAC3	613	16	772	2378	31	14	15	125	0	5	14	5	604	0	0	639	326
AC104458.1	5	0	18	40	0	0	0	3	0	0	1	0	9	0	0	0	4
LINC02567	29	0	1	51	1	0	0	0	0	0	0	0	0	0	0	0	5
ST6GALNAC5	739	2	633	486	73	7	121	4	2	2	2	8	338	0	0	31	153
AL035409.1	16	0	13	8	1	0	12	0	0	0	0	1	0	0	0	0	3
PIGK	2256	1743	1027	2830	445	145	1373	110	54	812	38	11	1091	122	146	881	817
AC093433.2	1	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0
AK5	4	5	0	1	1	2	782	1	7	0	1	6	0	9	1	1363	136
AC118549.1	2391	760	1469	2517	739	137	1367	105	29	569	48	10	1857	62	184	2077	895
USP33	3260	1064	1831	3095	879	127	1948	120	56	556	67	19	1041	174	143	1874	1015
MIGA1	2106	876	975	2113	607	119	1583	137	50	403	53	14	729	105	176	1505	721
NEXN-AS1	5	10	7	7	1	0	197	1	1	0	0	0	11	2	1	51	18
NEXN	51	233	36	46	13	5	1454	20	138	112	6	0	30	11	15	741	181
FUBP1	4471	1471	2977	4263	1544	182	1538	179	51	1374	133	14	4704	177	423	2494	1624
DNAJB4	4682	2318	2198	4599	1029	296	2448	416	172	1429	185	42	2271	191	485	1867	1539
GIPC2	43	5	12	15	12	2	319	120	1	4	1	0	16	0	0	760	81
AC103591.3	1654	340	1052	1306	705	44	249	120	19	334	122	2	482	333	41	103	431
AC103591.4	1	12	0	4	0	0	3	3	0	3	0	0	0	0	0	0	1
PTGFR	8	389	1	21	1	2	1649	2	2	110	1	0	0	0	63	3	140
IFI44L	336	407	8	51	83	10	538	188	25	40	32	3	62	37	38	0	116
IFI44	1616	478	154	516	196	35	946	171	24	152	78	6	234	87	25	0	294
ADGRL4	35	196	5	43	4	2	530	507	1	32	5	0	1	0	6	0	85
ADGRL2	1354	1288	484	597	518	23	292	113	68	267	4	14	323	111	54	1949	466
AC117944.1	0	6	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0
LINC01361	17	4	26	22	8	0	1	1	0	2	0	0	5	5	0	6	6
AC116099.1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LINC01725	419	139	355	466	243	53	21	9	0	42	6	0	242	13	2	0	125
TTLL7	54	363	45	57	32	28	261	14	72	115	4	19	15	0	64	130	79
TTLL7-IT1	1	9	0	3	0	1	8	1	5	5	0	0	3	0	0	0	2
AL359504.2	18	102	3	9	76	21	552	9	10	71	0	1	47	31	16	264	76
PRKACB	144	390	39	47	179	137	740	28	23	191	115	6	91	19	81	319	159
SAMD13	252	22	106	245	27	36	32	9	4	0	4	2	89	5	0	214	65
RPF1	4010	1120	2400	4134	903	226	1291	119	39	1086	79	12	3587	83	413	2357	1366
GNG5	10282	4001	5465	9741	2643	608	4528	482	186	3835	330	42	10269	429	1152	3521	3594
SPATA1	407	140	266	567	57	17	71	21	4	91	12	1	274	23	17	48	126
CTBS	3298	1286	1939	2771	876	131	2086	157	42	828	109	9	2525	108	301	100	1035
AL359762.1	59	12	29	67	5	6	8	2	0	5	10	0	60	3	15	0	17
SSX2IP	1231	278	1758	1833	588	77	366	22	4	112	23	0	2355	61	23	694	589
LPAR3	1465	11	1099	1685	728	27	14	5	3	4	14	0	902	0	0	85	377
MCOLN2	8	254	10	15	11	7	151	1	1	104	62	0	12	0	24	41	43
WDR63	37	55	51	25	23	288	31	0	1	72	1	0	21	4	1	29	39
MCOLN3	47	552	36	27	121	457	217	4	2	141	9	1	52	0	16	564	140
SYDE2	277	209	108	274	93	146	281	6	16	110	11	4	88	41	31	589	142
C1orf52	4085	1755	3112	3975	1446	198	2235	158	59	1605	115	21	3767	185	506	2791	1625
BCL10	6317	1244	3732	5850	1597	208	1769	176	31	1222	129	15	8627	131	456	2136	2102
AL078459.1	432	79	240	224	97	7	54	9	2	54	12	1	330	9	6	49	100
DDAH1	396	332	78	710	11	2	1542	28	14	118	2	1	75	28	44	288	229
AC092807.3	2	221	30	16	6	1	834	3	16	94	0	1	18	5	69	24	83
AC092807.2	4	4	0	0	2	1	9	2	0	0	0	0	0	0	0	10	2
CCN1	1403	3338	4198	2073	1382	227	2894	225	172	1374	41	51	3915	389	83	0	1360
ZNHIT6	1249	882	836	1303	479	95	1383	92	36	532	46	12	641	81	206	1582	590
COL24A1	2	305	52	10	1	43	35	1	1	42	2	0	8	13	6	68	36
ODF2L	3051	1452	1896	2706	891	333	1748	278	48	1036	91	14	1619	151	195	1060	1035
CLCA2	6260	109	5712	7410	735	68	47	48	14	61	53	1	6856	1	4	4	1711
CLCA4	3833	44	2438	6585	161	31	8	37	7	55	32	1	2271	0	0	0	968
CLCA4-AS1	109	3	47	41	9	0	5	3	1	1	1	0	32	0	0	0	15
AL049597.2	353	32	164	424	56	7	44	10	2	21	4	0	262	7	4	69	91
SH3GLB1	8366	2323	4211	7784	1892	347	3013	336	123	2289	233	25	6632	238	664	2589	2566
SELENOF	9107	3495	4866	8860	2644	395	3506	388	141	2412	236	43	8165	235	692	3369	3034
HS2ST1	1447	860	1003	1489	416	87	944	82	20	462	31	3	1041	91	147	1204	582
LINC01140	441	47	83	179	10	1	150	7	37	18	1	0	36	0	2	118	70
LINC02801	7	2	2	6	0	0	34	0	1	0	1	0	0	0	0	0	3
LMO4	9388	1242	4018	7660	2509	202	2717	183	131	988	181	42	6040	101	320	3422	2446
PKN2-AS1	56	3	27	17	14	0	28	0	0	0	1	0	26	0	0	10	11
PKN2	5905	1495	2788	5183	1541	232	1956	226	70	1075	136	20	2564	242	436	2710	1661
GTF2B	6377	2408	2544	6217	1580	366	2336	155	74	2259	194	26	3554	233	704	2298	1957
KYAT3	3231	850	2003	3812	802	133	1207	63	32	414	45	19	2263	112	81	1538	1037
RBMXL1	1670	452	1162	1632	616	128	516	57	32	197	47	12	2337	67	69	2117	694
GBP3	3708	283	949	2253	336	23	365	94	16	192	72	8	767	46	104	0	576
GBP1	1560	208	323	424	499	37	1157	110	27	253	74	7	385	17	163	24	329
GBP2	2183	430	23	91	697	40	1562	197	59	119	186	29	261	15	242	0	383
GBP7	40	0	1	4	7	3	6	5	0	0	0	1	0	0	0	0	4
GBP4	1150	56	118	212	161	24	135	122	13	5	54	9	186	0	14	24	142
AC099063.4	298	0	21	24	17	0	12	3	0	0	0	1	9	0	0	4	24
GBP5	11	1	0	4	7	0	11	11	1	3	59	0	2	2	4	0	7
GBP6	301	0	38	78	22	2	1	1	0	0	0	0	102	4	0	7	34
LRRC8B	1717	202	744	2509	326	59	190	78	33	99	43	14	1572	26	25	256	493
LRRC8C-DT	157	126	229	149	125	113	101	45	15	72	17	9	314	26	16	3	94
LRRC8C	280	64	815	297	151	97	265	141	25	43	76	8	2338	11	5	10	289
AC099568.2	112	18	113	221	18	10	20	2	0	24	4	0	78	15	0	233	54
LRRC8D	1410	289	2381	2101	542	88	803	40	9	245	34	4	1357	14	20	899	639
ZNF326	8169	1811	5054	8610	1907	230	1565	216	68	1642	146	21	5588	210	582	3086	2431
LINC02609	61	428	121	82	76	116	646	1	6	197	1	1	81	24	40	0	117
LINC01763	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	33	2
ZNF644	5540	1450	2625	5100	1781	264	1748	212	68	1092	152	30	4175	158	268	2355	1688
HFM1	2	13	0	1	11	2	7	5	3	0	0	0	0	17	1	70	8
CDC7	79	82	255	72	116	22	124	18	4	63	4	0	192	10	9	1265	144
TGFBR3	677	1543	1086	1409	665	99	1460	390	56	691	24	16	663	472	182	1734	697
EPHX4	7	65	13	2	4	1	28	29	1	84	0	0	39	67	9	368	44
BTBD8	598	86	303	566	103	2	352	20	14	7	6	1	61	16	2	459	162
GLMN	840	397	569	945	255	28	478	35	16	326	27	2	403	67	62	2073	407
RPAP2	2330	866	1478	2242	744	63	1135	56	35	573	53	6	1360	112	224	1625	806
EVI5	3171	1248	2049	3035	719	118	1812	99	58	1089	53	22	2060	162	333	1633	1103
RPL5	11747	5485	6378	10767	4269	822	5538	682	293	4097	512	79	11254	729	1407	3813	4242
DIPK1A	554	124	499	674	99	25	364	9	13	116	7	0	799	13	25	0	207
MTF2	3129	689	2278	3036	1168	153	1039	165	36	229	90	16	1778	155	119	2899	1061
TMED5	4132	1757	1905	3541	1153	147	2586	153	50	2248	187	21	3804	164	906	2710	1591
CCDC18	228	244	251	166	60	8	293	20	2	157	33	3	149	11	81	1370	192
CCDC18-AS1	3133	994	2313	3592	746	99	1674	90	47	233	83	23	2087	147	55	0	957
DR1	4628	1111	3116	4919	1211	164	1899	138	59	1202	119	7	4980	145	267	2743	1669
FNBP1L	3381	702	1644	3197	801	80	1330	240	25	478	30	3	1583	237	88	2749	1035
BCAR3	1298	461	1031	896	383	43	1492	86	10	904	48	10	2329	192	256	161	600
AL109613.1	43	1	12	54	2	0	4	0	0	0	1	0	7	1	0	3	8
AL049796.1	60	16	30	56	10	2	32	1	0	18	1	0	73	10	3	0	19
DNTTIP2	5224	2040	2841	4907	1708	230	2337	201	74	1999	219	17	5643	260	879	2624	1950
GCLM	2583	1492	2140	1927	884	57	2713	86	28	1336	61	15	4014	177	943	2478	1308
ABCA4	9	4	27	2	0	0	59	3	1	0	0	0	1	0	0	0	6
ARHGAP29	592	2836	657	817	182	9	2893	524	143	1975	28	13	217	373	510	941	794
ARHGAP29-AS1	8	8	1	2	3	0	239	1	1	20	0	0	5	2	6	0	18
AC118469.2	20	3	8	11	3	3	1	0	0	0	1	0	3	8	0	0	3
ABCD3	4054	1101	1758	3253	834	153	1413	83	27	691	56	21	2943	300	192	1756	1164
F3	7731	1056	1262	3747	1336	66	1480	92	28	800	58	30	3167	100	325	1159	1402
SLC44A3	2198	162	510	1775	248	21	108	18	9	481	8	10	1220	47	20	237	442
CNN3	6056	4151	2579	5245	1726	203	3687	499	225	3246	53	70	7491	463	659	3285	2477
AC105942.1	132	347	51	90	58	18	335	22	25	221	1	7	71	39	57	86	97
ALG14	1970	779	877	2050	376	81	730	44	22	602	20	12	1222	71	197	697	609
TLCD4	83	38	11	38	29	1	45	2	4	13	2	4	21	40	8	0	21
AC092802.1	46	66	23	41	23	2	20	3	2	8	3	2	17	4	3	3	16
RWDD3	2726	732	1308	2842	659	140	954	96	41	450	44	12	1039	142	176	118	717
AC092802.4	5	2	3	21	2	0	1	0	0	0	0	0	0	0	0	0	2
PTBP2	1110	804	946	811	681	105	705	81	67	551	37	29	1356	110	101	2184	604
DPYD	1228	818	282	302	409	22	1350	78	48	310	100	13	175	45	105	0	330
DPYD-IT1	10	4	1	0	2	0	4	0	0	0	1	0	0	0	0	0	1
SNX7	2471	1333	1900	2175	537	177	1574	81	59	1318	34	9	2546	93	130	2394	1051
PLPPR5	0	9	0	0	1	0	0	0	0	8	0	0	0	29	0	0	2
PLPPR4	3	1	0	7	9	178	13	16	61	0	0	0	6	1	0	0	18
PALMD	1230	69	1019	255	860	36	138	328	26	12	11	5	1376	0	5	13	336
FRRS1	942	243	713	1353	209	14	194	7	3	193	14	0	213	0	18	204	270
AGL	3887	652	5034	5585	715	80	825	93	32	260	59	7	3682	143	67	3344	1529
AC118553.1	261	47	83	249	39	5	81	4	1	7	4	0	138	7	2	55	61
SLC35A3	3835	959	1443	3239	833	113	1087	104	30	368	66	3	1806	117	179	1841	1001
MFSD14A	3825	1209	2808	3858	1457	222	1433	142	43	933	90	9	5344	177	326	81	1372
SASS6	546	199	559	612	179	12	327	21	2	166	16	5	160	38	49	1644	283
TRMT13	1562	520	941	1632	566	62	783	78	17	426	35	7	333	47	81	1430	532
LRRC39	64	55	46	68	11	3	27	6	0	9	0	0	15	3	3	5	19
DBT	2016	424	1008	1873	467	56	1111	54	18	105	23	5	471	76	53	1249	563
AL445928.2	10	8	9	9	5	0	3	2	0	2	1	0	5	2	0	0	3
RTCA-AS1	676	246	302	512	204	11	331	15	12	79	13	6	211	52	31	12	169
RTCA	2665	532	1516	2612	547	93	1474	78	25	355	55	6	1828	58	105	2538	905
CDC14A	419	290	233	227	151	48	232	81	12	159	70	5	91	74	43	106	140
GPR88	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1
VCAM1	6	5	1	6	2	4	539	47	33	0	7	2	1	4	3	17	42
EXTL2	1101	1190	1595	1832	432	93	1171	34	15	390	20	8	1216	141	71	1414	670
AC104506.1	968	239	582	999	261	36	116	88	10	117	22	3	974	204	21	112	297
SLC30A7	2198	837	1024	1871	566	99	1349	134	29	585	61	6	1500	108	197	1366	745
DPH5	1743	390	1350	1719	708	103	1262	60	17	150	33	2	1638	84	60	2338	728
AC093157.2	61	16	48	109	4	3	9	2	0	15	3	0	68	0	3	15	22
AC093157.1	1136	327	959	1486	156	20	908	51	7	212	15	2	831	45	76	292	407
AL109741.1	121	4	32	100	2	0	2	38	0	2	1	0	19	0	0	0	20
S1PR1	625	34	153	993	10	6	23	336	1	36	15	0	288	0	2	4	157
LINC01307	192	2	37	325	8	0	1	2	0	1	2	0	108	0	0	0	42
OLFM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
COL11A1	5	11	0	1	1	22	148	1	0	2	0	4	8	0	0	44	15
AC095032.1	9	1	3	18	1	1	1	0	0	0	0	0	6	0	0	0	2
RNPC3	2604	1141	1453	2528	756	73	726	125	58	743	68	12	715	255	322	872	778
AMY2B	432	155	444	414	146	4	79	21	7	50	19	1	153	38	6	24	124
PRMT6	1583	178	689	1759	275	47	325	21	5	70	13	0	961	59	14	1395	462
NTNG1	3479	133	587	663	1159	54	71	16	2	7	11	5	834	1	1	119	446
VAV3	7174	126	3447	6488	1839	94	137	68	7	114	91	0	4014	117	17	84	1488
VAV3-AS1	1	0	28	6	4	0	1	1	0	3	1	0	11	0	0	0	3
LINC02785	7	33	254	21	2	0	3	1	0	23	8	0	149	0	0	0	31
SLC25A24	3476	1064	2295	4025	689	150	1595	110	43	1207	85	7	2060	99	284	202	1086
AL359258.2	479	125	152	690	32	12	51	10	3	31	5	0	99	16	2	11	107
FAM102B	1042	431	157	440	90	28	449	29	14	57	82	4	135	0	11	1954	307
HENMT1	283	168	204	500	32	29	59	10	6	58	14	0	413	10	7	2375	260
PRPF38B	7206	2700	4094	6118	2409	375	2562	282	96	2339	277	26	5221	311	546	3117	2354
FNDC7	5	3	0	1	2	0	0	0	0	0	0	0	0	0	0	6	1
STXBP3	5141	1759	2422	4917	1194	179	1638	148	51	982	114	14	2095	152	260	1396	1403
AKNAD1	80	350	260	60	129	18	109	8	2	128	1	2	128	21	44	36	86
SPATA42	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPSM2	1193	1324	2174	769	1420	139	1087	31	11	953	24	6	1862	49	203	552	737
CLCC1	1199	869	812	1077	382	67	1197	49	24	423	36	13	657	101	152	1522	536
WDR47	1696	791	1200	1765	403	82	457	50	31	585	54	17	688	121	132	1180	578
TAF13	3110	1071	1784	3492	582	92	1339	76	19	1014	71	9	3329	159	444	3294	1242
AL356488.3	430	217	216	400	125	12	190	20	6	75	13	3	327	65	72	197	148
TMEM167B	4335	961	2073	4765	1066	202	1655	148	45	608	111	10	2971	182	261	1989	1336
AL356488.2	19	12	6	10	13	1	15	1	0	5	2	0	4	0	7	4	6
KIAA1324	71	98	27	57	22	3	87	5	2	57	5	2	18	0	20	46	32
SARS	6923	2720	3921	7191	2160	399	3340	219	118	2424	127	27	5769	252	828	3080	2468
CELSR2	2257	47	1696	2443	589	118	112	12	9	4	9	9	1067	40	1	1170	598
PSRC1	107	56	139	58	29	41	323	3	2	11	3	7	72	12	2	2464	208
SORT1	1412	30	118	1686	35	266	1117	39	58	12	62	17	237	189	1	1488	422
PSMA5	7423	2257	3695	7452	1572	323	3086	203	105	2617	182	17	4130	256	854	3515	2355
SYPL2	11	15	16	15	1	2	8	2	4	0	0	1	7	17	2	142	15
ATXN7L2	124	67	116	143	59	10	82	7	2	38	0	1	159	21	8	317	72
CYB561D1	166	102	68	212	38	4	235	7	2	24	16	4	75	21	17	299	80
AMIGO1	162	150	19	154	44	2	113	8	4	13	0	0	37	41	13	91	53
GPR61	21	8	10	25	2	0	0	0	0	1	0	0	3	7	0	0	4
GNAI3	7944	1933	4183	7851	2138	373	2544	263	78	2257	217	28	7228	253	601	2744	2539
AL355310.1	10	5	2	17	2	2	1	0	0	0	0	0	0	0	0	0	2
GNAT2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0
AMPD2	337	534	450	254	264	34	1233	12	13	308	65	5	326	296	112	464	294
GSTM4	1198	859	1341	1251	468	132	1162	24	26	507	30	6	1238	269	97	1955	660
GSTM2	205	587	191	121	254	30	529	14	15	296	17	3	57	61	8	34	151
GSTM1	22	83	79	53	15	3	77	3	4	28	3	1	7	9	0	31	26
AC000032.1	3	7	4	3	6	0	8	0	0	3	0	1	0	0	0	3	2
GSTM5	19	1341	10	36	10	1	1577	3	14	1036	5	3	1	39	91	0	261
AL158847.1	4	1	2	3	1	0	5	0	0	0	0	0	0	0	0	0	1
GSTM3	899	3355	1955	522	1166	346	3696	60	90	2710	53	22	1567	501	921	303	1135
EPS8L3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF1	159	192	257	100	109	28	1705	117	84	224	56	8	139	102	75	280	227
AHCYL1	6774	2179	3859	7084	1487	345	2896	197	129	1177	133	25	4310	625	336	3123	2167
STRIP1	1089	341	739	1087	348	62	540	34	10	142	33	2	586	89	51	1322	404
AL160006.1	131	111	107	115	38	10	160	5	2	48	0	0	80	32	7	446	80
ALX3	9	15	1	9	1	2	58	0	6	11	1	0	3	0	0	22	8
LINC01397	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1
UBL4B	1	0	0	0	0	0	145	0	2	0	0	0	0	0	0	0	9
SLC6A17	23	2	413	102	37	187	18	2	2	0	2	0	118	0	0	112	63
LINC02586	10	5	2	5	5	0	0	1	0	3	0	0	6	0	0	28	4
KCNC4	331	187	279	228	247	32	115	30	7	61	5	0	402	53	16	714	169
RBM15-AS1	19	4	6	11	4	1	3	1	0	0	2	0	7	0	0	51	6
RBM15	1122	333	896	1126	384	56	457	48	17	242	35	2	1619	83	116	1446	498
LAMTOR5-AS1	255	97	268	463	40	12	115	8	1	49	7	1	227	60	12	0	100
SLC16A4	2656	1151	391	1517	155	39	783	40	21	479	16	16	245	189	84	559	521
AL355488.1	212	85	208	195	72	10	100	12	1	36	2	0	30	7	6	265	77
LAMTOR5	10496	3867	5523	10000	2760	560	3956	360	144	3342	211	41	9266	500	1016	3504	3471
KCNA2	0	0	0	0	0	1	6	0	0	0	0	0	0	1	0	16	1
